specObjID	ra	dec	mjd	plate	fiberID	modelMag_u	modelMag_g	modelMag_r	modelMag_i	modelMag_z	cmodelMag_u	cmodelMag_g	cmodelMag_r	cmodelMag_i	cmodelMag_z	psfMag_u	psfMag_g	psfMag_r	psfMag_i	psfMag_z	w1mpro	w2mpro	w3mpro	w4mpro	z	class
3,22092E+17	18.013.992	-0.19344434	51999	286	309	1.898.257	1.703.463	1.612.964	157.253	15.413	188.408	1.697.151	1.612.964	157.413	1.543.694	2.057.416	1.872.248	1.783.911	1.751.142	1.718.903	13.366	13.245	11.404	9.038	0.08101622	GALAXY
4,32684E+18	18.011.626	-0.20441761	55278	3843	27	2.658.847	2.168.909	1.999.918	1.891.671	1.843.325	2.266.368	2.226.192	2.007.001	187.784	1.837.825	2.563.415	2.268.573	2.134.534	2.030.493	1.976.984	14.986	14.889	12.192	9.056	0.5608728	GALAXY
4,32684E+18	18.012.305	-0.16203626	55278	c	29	2.527.575	2.212.288	2.041.084	1.962.175	1.912.599	249.508	2.211.228	2.042.234	1.947.501	1.924.214	2.484.369	2.264.297	2.097.111	2.021.282	1.969.307	15.696	15.671	12.725	8.748	0.4326277	GALAXY
4,32684E+18	18.007.315	-0.1623724	55278	3843	23	2.311.726	2.198.663	2.060.101	1.982.306	1.961.115	2.064.501	2.209.263	2.046.083	1.959.723	1.938.908	2.340.516	2.272.552	2.148.478	2.074.597	2.052.514	16.329	16.133	12.57	8.831	0.4599491	GALAXY
3,20923E+17	18.018.732	-0.15673109	51663	285	151	1.972.718	1.763.301	1.636.459	1.590.742	1.559.486	1.891.022	1.767.054	1.641.174	1.592.294	1.570.603	2.189.485	1.983.822	1.861.496	1.826.717	1.789.022	12.996	12.81	12.018	9.191	0.1657157	GALAXY
3,20925E+17	18.018.732	-0.15673109	51930	285	157	1.972.718	1.763.301	1.636.459	1.590.742	1.559.486	1.891.022	1.767.054	1.641.174	1.592.294	1.570.603	2.189.485	1.983.822	1.861.496	1.826.717	1.789.022	12.996	12.81	12.018	9.191	0.1656666	GALAXY
3,20914E+17	18.043.194	-0.18450844	51663	285	117	1.935.711	1.724.314	1.597.302	154.946	1.511.927	1.897.893	1.733.322	159.804	1.553.542	153.827	2.176.755	1.974.167	1.852.856	1.804.818	1.767.893	13.313	13.143	12.621	8.922	0.1669239	GALAXY
3,20912E+17	18.043.194	-0.18450844	51930	285	112	1.935.711	1.724.314	1.597.302	154.946	1.511.927	1.897.893	1.733.322	159.804	1.553.542	153.827	2.176.755	1.974.167	1.852.856	1.804.818	1.767.893	13.313	13.143	12.621	8.922	0.1669385	GALAXY
3,22093E+17	1.801.877	-0.16408722	51999	286	313	2.050.369	1.823.083	1.701.759	1.653.623	1.616.943	2.053.017	1.824.452	1.701.764	1.653.867	1.623.768	2.168.956	1.938.761	1.821.211	1.781.675	1.742.784	13.632	13.36	12.208	8.706	0.1630622	GALAXY
3,20914E+17	18.041.993	-0.20237161	51663	285	119	207.386	1.834.174	1.714.538	1.668.133	1.629.614	2.119.305	1.825.566	1.714.535	1.668.924	1.633.378	2.160.294	1.949.357	1.833.589	1.791.668	1.751.765	13.777	13.574	12.385	8.459	0.1728286	GALAXY
3,20914E+17	18.041.993	-0.20237161	51930	285	120	207.386	1.834.174	1.714.538	1.668.133	1.629.614	2.119.305	1.825.566	1.714.535	1.668.924	1.633.378	2.160.294	1.949.357	1.833.589	1.791.668	1.751.765	13.777	13.574	12.385	8.459	0.1729795	GALAXY
3,22093E+17	18.030.708	-0.18745457	51999	286	312	2.088.582	1.891.639	1.776.404	1.728.057	1.694.166	2.046.661	1.890.042	1.776.406	173.188	16.987	2.164.986	197.296	1.859.536	1.814.319	1.780.278	14.43	14.208	12.726	9.098	0.1683727	GALAXY
4,32684E+18	18.017.343	-0.15648605	55278	3843	18	2.312.949	2.156.184	1.959.468	1.865.833	1.819.471	2.139.978	2.187.487	1.959.453	1.864.056	1.825.888	2.399.933	2.273.528	2.087.454	2.001.484	1.954.868	14.959	14.705	12.136	8.881	0.4959734	GALAXY
4,32684E+18	18.022.574	-0.16668403	55278	3843	9	237.757	2.202.978	2.049.372	1.940.476	1.902.435	2.383.646	2.204.873	204.937	1.946.942	1.877.516	23.971	2.271.073	2.117.214	2.016.836	1.973.147	15.369	15.015	12.165	8.658	0.602806	GALAXY
4,32809E+18	18.034.437	-0.16457465	55321	3844	471	2.530.712	2.246.265	2.055.439	1.957.759	1.894.627	2.507.897	2.265.906	2.045.613	1.952.605	1.898.164	2.478.444	2.329.556	2.161.116	2.057.968	1.998.379	15.6	15.581	12.458	8.321	0.4945902	GALAXY
3,22079E+17	18.043.192	-0.18722972	51999	286	261	219.681	1.979.541	1.860.705	1.817.576	1.778.175	219.534	1.979.208	1.860.705	181.812	1.778.173	2.208.592	2.007.211	1.892.442	1.849.548	1.811.549	13.994	13.771	12.328	8.503	0.1637342	GALAXY
3,20891E+17	18.074.128	-0.19575954	51663	285	35	1.963.994	1.837.298	1.774.405	1.735.339	1.711.771	1.956.377	1.833.746	176.727	172.991	1.702.775	209.236	1.987.561	1.922.367	1.888.778	1.865.516	14.608	14.502	10.621	8.84	0.09341548	GALAXY
3,20893E+17	18.074.128	-0.19575954	51930	285	40	1.963.994	1.837.298	1.774.405	1.735.339	1.711.771	1.956.377	1.833.746	176.727	172.991	1.702.775	209.236	1.987.561	1.922.367	1.888.778	1.865.516	14.608	14.502	10.621	8.84	0.0933985	GALAXY
4,32808E+18	18.058.708	-0.17124551	55321	3844	449	2.440.267	2.250.994	2.058.873	1.942.455	1.888.698	2.166.468	2.234.309	2.060.079	1.919.571	1.880.908	2.436.625	2.294.564	210.474	1.995.211	1.936.993	14.976	14.847	12.761	9.207	0.5228741	GALAXY
3,21045E+17	18.054.969	-0.052136686	51663	285	593	198.151	1.781.467	1.682.938	1.641.791	1.605.527	1.966.647	178.152	1.682.938	1.643.081	1.611.298	2.083.133	1.891.107	1.799.223	1.754.865	1.721.512	13.748	13.62	12.363	8.546	0.1092784	GALAXY
4,32808E+18	18.046.915	-0.17923683	55321	3844	456	2.054.701	1.986.571	1.980.358	1.972.392	1.945.943	2.051.492	1.984.698	1.980.358	1.970.515	1.938.106	205.416	198.763	1.978.991	1.972.567	1.946.694	16.296	15.152	11.889	8.393	2.414.485	QSO
4,32809E+18	18.051.786	-0.11028911	55321	3844	458	2.153.793	2.098.449	2.092.651	2.063.665	2.034.159	2.135.963	2.092.432	2.092.651	2.062.823	2.015.607	215.337	2.100.856	2.093.696	2.064.152	2.036.185	16.985	16.373	12.505	8.471	2.117.407	QSO
3,22084E+17	18.035.752	-0.042469126	51999	286	277	1.921.457	1.923.329	192.108	1.886.238	186.964	1.921.557	1.923.434	1.921.081	1.886.411	186.619	1.917.203	192.316	1.920.848	1.885.656	1.870.593	15.975	15.009	12.106	8.583	1.929.914	QSO
4,32684E+18	17.999.522	-0.014775025	55278	3843	38	2.213.511	2.146.664	2.161.053	2.130.243	2.084.365	2.211.584	2.150.753	2.161.053	2.127.108	2.080.886	2.209.274	2.148.818	2.168.434	2.133.351	2.090.998	17.441	15.841	12.217	8.853	2.191.905	QSO
4,328E+18	18.161.706	-0.17729019	55321	3844	150	2.188.635	2.130.035	2.103.489	2.092.596	2.042.432	2.194.879	2.133.761	2.103.738	2.100.735	2.031.693	2.193.031	2.140.275	2.114.353	210.298	2.052.739	16.222	15.674	11.844	9.004	0.8187774	QSO
3,22049E+17	1.817.825	-0.083030869	51999	286	152	1.846.581	181.113	1.804.735	1.799.108	1.802.143	184.596	1.810.547	1.804.735	1.798.768	1.799.833	1.849.245	1.813.861	1.805.811	1.801.369	1.804.614	14.092	12.914	10.268	8.253	0.6768922	QSO
4,32806E+18	18.080.462	-0.0096737715	55321	3844	377	2.140.927	2.062.811	1.979.404	1.895.455	1.870.047	2.154.508	2.091.738	1.979.404	1.904.149	1.866.085	2.193.655	2.119.502	2.046.298	1.961.817	1.940.853	14.611	13.575	10.819	7.567	0.4143638	QSO
5,51745E+17	16.400.496	66.127.375	51929	490	197	1.937.916	1.908.418	18.74	184.968	1.803.878	1.963.137	1.931.833	18.74	1.839.756	17.808	1.960.996	1.937.445	1.916.211	1.897.572	1.855.434	14.497	13.634	11.458	8.653	0.3807327	QSO
8,00641E+18	16.439.647	66.303.521	56741	7111	484	2.450.334	2.118.197	2.081.632	2.057.921	208.408	2.386.145	2.118.195	2.081.632	2.051.171	2.083.929	2.417.811	211.587	208.021	2.057.727	2.072.175	17.387	15.955	12.68	8.969	3.106.328	QSO
5,51826E+17	16.490.469	66.300.422	51929	490	492	1.865.139	1.846.316	1.831.716	1.823.086	1.818.409	1.862.855	1.846.329	1.831.716	1.822.547	1.818.185	1.867.137	1.847.591	1.832.639	1.824.802	181.943	14.968	13.502	10.777	8.139	1.188.236	QSO
3,57034E+18	16.475.627	66.389.489	54862	3171	399	1.993.568	1.916.915	1.906.565	1.907.845	188.699	1.983.087	1.917.496	1.906.566	1.908.718	1.889.912	1.997.159	1.919.226	1.908.887	1.910.706	1.888.881	16.029	14.957	11.504	8.736	2.371.491	QSO
7,99977E+18	16.475.629	66.389.565	56740	7105	908	1.993.568	1.916.915	1.906.565	1.907.845	188.699	1.983.087	1.917.496	1.906.566	1.908.718	1.889.912	1.997.159	1.919.226	1.908.887	1.910.706	1.888.881	16.029	14.957	11.504	8.736	2.372.844	QSO
8,0064E+18	16.475.629	66.389.565	56741	7111	470	1.993.568	1.916.915	1.906.565	1.907.845	188.699	1.983.087	1.917.496	1.906.566	1.908.718	1.889.912	1.997.159	1.919.226	1.908.887	1.910.706	1.888.881	16.029	14.957	11.504	8.736	2.371.667	QSO
8,0064E+18	16.503.371	66.251.241	56741	7111	464	2.146.539	2.113.727	2.098.304	2.094.383	2.076.612	2.139.445	2.113.757	2.098.304	2.081.974	2.069.614	2.148.243	2.114.263	2.098.224	2.095.773	2.076.585	16.383	15.512	12.446	9.027	0.9231089	QSO
7,99978E+18	16.538.413	66.466.791	56740	7105	952	2.113.811	2.042.773	2.041.529	2.032.877	2.040.344	2.115.154	2.043.884	2.041.529	2.030.952	2.042.302	2.109.869	2.039.618	2.043.934	2.035.047	2.040.309	16.665	15.098	12.399	9.211	0.753616	QSO
8,00639E+18	16.538.413	66.466.791	56741	7111	434	2.113.811	2.042.773	2.041.529	2.032.877	2.040.344	2.115.154	2.043.884	2.041.529	2.030.952	2.042.302	2.109.869	2.039.618	2.043.934	2.035.047	2.040.309	16.665	15.098	12.399	9.211	0.754041	QSO
8,00638E+18	16.592.394	66.465.306	56741	7111	394	1.991.752	1.971.624	1.955.668	1.961.149	1.950.353	1.988.908	1.971.457	1.955.668	1.957.205	1.926.341	1.990.317	1.970.784	1.955.203	1.961.722	1.947.437	15.532	14.296	10.908	8.439	0.8721209	QSO
5,52905E+17	16.766.518	66.714.843	51942	491	320	1.925.754	1.886.211	1.872.488	1.862.911	1.838.187	1.923.991	1.885.798	1.872.486	1.862.191	1.831.801	1.923.991	1.886.607	1.872.087	1.863.017	1.839.378	15.591	14.308	11.048	9.01	2.174.899	QSO
5,51862E+17	16.766.518	66.714.843	51929	490	623	1.925.754	1.886.211	1.872.488	1.862.911	1.838.187	1.923.991	1.885.798	1.872.486	1.862.191	1.831.801	1.923.991	1.886.607	1.872.087	1.863.017	1.839.378	15.591	14.308	11.048	9.01	217.864	QSO
8,00635E+18	1.676.652	66.714.923	56741	7111	280	1.925.754	1.886.211	1.872.488	1.862.911	1.838.187	1.923.991	1.885.798	1.872.486	1.862.191	1.831.801	1.923.991	1.886.607	1.872.087	1.863.017	1.839.378	15.591	14.308	11.048	9.01	2.177.598	QSO
8,00637E+18	166.77	66.636.074	56741	7111	358	2.191.244	2.060.818	1.982.374	1.912.364	1.871.943	2.015.601	2.057.277	1.982.374	1.912.944	1.879.428	2.197.005	2.072.574	19.961	1.924.622	1.883.235	14.044	13.006	10.477	7.843	0.4343299	QSO
3,25618E+18	18.015.209	-0.18361	54552	2892	274	1.735.209	1.576.979	1.519.224	1.498.667	1.489.647	1.734.688	1.576.948	1.519.223	1.498.869	1.489.813	1.733.725	1.578.783	152.048	1.498.516	1.490.258	13.398	13.454	12.711	8.76	7,35E+01	STAR
3,25617E+18	18.038.396	-0.178263	54552	2892	237	174.883	1.597.237	1.544.033	1.526.347	151.861	1.748.904	1.597.176	1.544.033	152.622	1.518.477	1.743.758	1.598.128	1.543.815	1.527.907	1.520.174	13.803	13.938	12.668	8.284	-2,61E+01	STAR
3,25616E+18	18.044.928	-0.204032	54552	2892	200	1.714.912	1.601.336	1.564.836	1.552.166	1.548.735	1.714.844	1.600.976	1.564.836	1.552.016	1.548.675	1.713.456	160.398	1.563.512	1.553.473	1.549.185	14.24	14.258	12.658	8.744	-0.0001403382	STAR
3,2843E+18	18.044.928	-0.204032	54556	2917	188	1.714.912	1.601.336	1.564.836	1.552.166	1.548.735	1.714.844	1.600.976	1.564.836	1.552.016	1.548.675	1.713.456	160.398	1.563.512	1.553.473	1.549.185	14.24	14.258	12.658	8.744	-0.0001372302	STAR
3,25617E+18	18.024.851	-0.166591	54552	2892	232	1.897.261	1.744.221	1.691.625	1.671.202	1.661.139	1.895.619	1.744.233	1.691.625	1.671.222	1.661.191	1.895.683	1.742.879	1.690.391	1.670.191	1.660.411	15.139	15.205	12.024	8.877	0.0001292738	STAR
3,25615E+18	18.065.768	-0.199347	54552	2892	187	1.641.249	1.484.059	1.430.185	141.066	1.403.841	1.641.254	1.484.094	1.430.185	14.108	1.404.042	1.641.231	1.483.697	1.431.474	1.411.061	1.403.563	12.627	12.662	12.004	8.465	6,33E+01	STAR
3,25615E+18	18.051.183	-0.176744	54552	2892	183	1.578.614	1.469.951	1.429.219	1.410.333	1.403.962	1.578.678	1.469.934	1.429.219	1.410.363	140.408	1.576.025	1.471.802	1.428.486	1.411.957	1.401.865	12.687	12.678	12.296	8.471	0.0006443941	STAR
3,22081E+17	18.061.378	-0.17279421	51999	286	268	2.539.871	2.492.517	2.254.525	198.855	1.828.718	2.546.194	249.251	2.245.744	1.986.592	1.828.419	2.535.351	248.106	2.253.537	198.953	1.827.733	14.81	14.62	12.11	9.032	7,75E+01	STAR
3,2843E+18	1.804.711	-0.189606	54556	2917	182	1.911.007	1.786.664	173.136	1.708.843	1.697.518	1.909.928	178.611	173.136	1.708.567	1.697.249	191.117	1.788.171	1.730.441	1.709.311	1.696.721	15.57	15.503	12.237	8.436	4,30E+01	STAR
3,25616E+18	18.058.693	-0.102348	54552	2892	199	1.822.167	1.587.365	1.492.577	1.458.385	1.441.913	1.820.654	1.587.386	1.492.577	1.458.394	1.441.996	1.823.041	1.587.173	1.492.016	145.931	1.440.203	12.625	12.679	12.047	8.868	1,65E+01	STAR
3,25616E+18	18.050.839	-0.139511	54552	2892	198	1.715.908	1.579.067	1.529.959	1.510.786	1.503.997	1.716.039	1.578.884	1.529.959	1.510.801	1.504.168	1.711.781	1.581.918	1.530.272	1.511.396	1.503.877	13.634	13.726	12.4	8.552	-0.0002271767	STAR
3,2843E+18	18.050.773	-0.003372	54556	2917	181	2.057.281	1.809.599	1.693.643	1.644.431	1.616.953	2.050.361	1.809.846	1.693.642	1.644.654	1.617.148	2.056.824	1.810.382	1.695.275	1.644.772	1.617.962	14.184	14.12	12.633	9.13	2,07E+01	STAR
3,25622E+18	18.048.948	-0.054265	54552	2892	439	1.747.296	1.648.724	1.623.073	1.612.515	1.610.487	1.747.258	1.648.706	1.623.039	1.612.724	1.610.989	1.745.101	1.650.599	1.624.551	1.611.761	1.610.814	14.955	15.294	12.648	9.125	0.0005428581	STAR
3,2843E+18	18.058.672	-0.053175	54556	2917	190	1.937.177	1.790.415	1.731.717	1.706.334	1.693.394	1.936.874	1.790.458	1.731.717	1.706.342	1.693.934	1.936.727	1.791.113	1.732.447	1.707.359	169.305	15.44	15.143	12.132	9.05	6,68E+01	STAR
3,2843E+18	18.045.958	-0.103033	54556	2917	183	2.008.433	1.757.218	1.648.199	1.608.277	1.586.162	2.008.368	1.757.039	1.648.199	1.608.292	1.586.197	2.005.901	175.818	16.482	1.608.077	1.586.066	13.939	13.96	12.346	9.045	-2,15E+01	STAR
3,2843E+18	18.034.907	-0.079144	54556	2917	189	2.032.789	1.809.661	1.718.365	1.686.383	1.666.974	2.031.916	1.809.639	1.718.365	1.686.228	1.666.956	2.027.401	1.807.902	1.716.871	1.686.544	166.515	14.974	15.116	12.444	9.048	-0.0001992053	STAR
3,2843E+18	18.045.998	-0.152275	54556	2917	198	1.894.119	1.757.376	1.701.324	1.677.937	1.665.563	1.894.263	1.757.169	1.701.324	1.677.853	1.665.364	1.893.104	1.758.523	1.701.099	1.678.291	1.666.124	15.038	15.043	12.373	9.148	2,82E+01	STAR
3,25622E+18	18.038.066	-0.075074	54552	2892	437	186.832	1.718.164	1.669.746	1.652.649	1.644.222	1.868.303	171.781	1.669.746	1.652.374	1.644.201	1.863.942	1.719.817	166.821	1.653.967	1.643.476	15.105	15.077	12.602	8.447	0.0001422295	STAR
3,28431E+18	18.033.556	-0.1523	54556	2917	232	2.039.921	1.849.919	1.771.723	1.737.447	1.715.103	2.039.893	1.849.911	1.771.723	1.737.445	1.715.088	2.035.067	1.849.002	177.058	1.736.496	1.714.511	15.419	15.75	12.676	8.7	4,52E+01	STAR
3,25618E+18	18.017.975	-0.150037	54552	2892	277	19.179	1.779.582	1.728.433	1.707.985	1.697.201	1.918.106	1.779.563	1.728.433	1.707.782	1.697.333	1.915.019	1.779.971	1.728.468	1.708.809	1.697.428	15.41	15.337	12.73	8.564	0.0001295669	STAR
